,name,page,ru_prov,text,alt_name,_type,ru_uezd,source_url,html_text,name_modern_sp,prov_modern_sp,uezd_modern_sp,prov_stem,uezd_stem,admin_hierarchy,partof_id
231,Зарубино,45,Иркутскаго Намѣстничества,"ЗАРУБИНО, село Иркутскаго Намѣстничества въ уѣздѣ города Киренска. Ярмарка бываетъ здѣсь въ Іюнѣ мѣсяцѣ; купцы пріѣзжаютъ изъ ближнихъ городовъ съ разными мѣлочными товарами; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.",,село,Киренска,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАРУБИНО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Иркутскаго Намѣстничества въ уѣздѣ города Киренска. Ярмарка бываетъ здѣсь въ Іюнѣ мѣсяцѣ; купцы пріѣзжаютъ изъ ближнихъ городовъ съ разными мѣлочными товарами; торгуютъ также лошадьми, рогатымъ скотомъ и прочимъ.</span>",ЗАРУБИНО,Иркутского Наместничества,Киренска,иркутск,киренск,иркутск|киренск,76.0
232,Зашиверскъ,45,Иркутскаго Намѣстничества,"ЗАШИВЕРСКЪ, городъ того же Намѣстничества. Здѣсь бываютъ ярмарки въ Декабрѣ и Генварѣ мѣсяцахъ.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗАШИВЕРСКЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> того же Намѣстничества. Здѣсь бываютъ ярмарки въ Декабрѣ и Генварѣ мѣсяцахъ.</span>",ЗАШИВЕРСК,Иркутского Наместничества,not_иn_text,иркутск,нот_ин_теxт,иркутск,9.0
233,Звенигородъ,45,Московской Губерніи,"ЗВЕНИГОРОДЪ, городъ Московской Губерніи. Бываетъ ярмарка при Ставропигіальномъ Савинѣ Сторожевскомъ монастырѣ , отъ Звенигорода въ двухъ верстахъ, лѣтнимъ временемъ о десятой пятницѣ привозными изъ разныхъ мѣстѣ мѣлкими шелковыми товарамии рухлядью, а отъ крестьянства съѣстнымъ харчемъ.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=44,"ЗВЕНИГОРОДЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Московской Губерніи. Бываетъ ярмарка при Ставропигіальномъ Савинѣ Сторожевскомъ монастырѣ , отъ Звенигорода въ двухъ верстахъ, лѣтнимъ временемъ о десятой пятницѣ привозными изъ разныхъ мѣстѣ мѣлкими шелковыми товарами</span>и рухлядью, а отъ крестьянства съѣстнымъ харчемъ.",ЗВЕНИГОРОД,Московской Губернии,not_иn_text,московск,нот_ин_теxт,московск,1.0
234,Землянскъ,46,Воронежскаго Намѣстничества,"ЗЕМЛЯНСКЪ , городъ Воронежскаго Намѣстничества. Въ уѣздѣ сего города бываютъ ярмарки въ году въ трехъ селахъ; на оныя пріѣзжаютъ разныхъ городовъ Россійскіе купцы съ мѣлкимъ товаромъ.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=45,"ЗЕМЛЯНСКЪ , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Воронежскаго Намѣстничества. Въ уѣздѣ сего города бываютъ ярмарки въ году въ трехъ селахъ; на оныя пріѣзжаютъ разныхъ городовъ Россійскіе купцы съ мѣлкимъ товаромъ.</span>",ЗЕМЛЯНСК,Воронежского Наместничества,not_иn_text,воронежск,нот_ин_теxт,воронежск,5.0
235,Зинковъ,46,Черниговскаго Намѣстничества,"ЗИНКОВЪ, или ЗѢНКОВЪ, городъ Черниговскаго Намѣстничества. Въ ономъ бываетъ въ годъ четыре ярмарки : первая Іюня 25 , въ день С. Іоанна Крестителя , вторая 15 Августа , въ день успенія Пресвятыя Богородицы, третія Октября 1, въ день Покрова Пресвятыя Богородицы , четвертая Декабря б, въ день Святителя Николая. На оныхъ торгуютъ разнымъ скотомъ, хлѣбомъ и съѣстными припасами. Здѣсь бываютъ и еженедѣльные торжки въ понедѣльникъ и пятокъ, и торгуютъ на оныхъ хлѣбомъ.",Зѣнковъ,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=45,"ЗИНКОВЪ, или ЗѢНКОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Черниговскаго Намѣстничества. Въ ономъ бываетъ въ годъ четыре ярмарки : первая Іюня 25 , въ день С. Іоанна Крестителя , вторая 15 Августа , въ день успенія Пресвятыя Богородицы, третія Октября 1, въ день Покрова Пресвятыя Богородицы , четвертая Декабря б, въ день Святителя Николая. На оныхъ торгуютъ разнымъ скотомъ, хлѣбомъ и съѣстными припасами. Здѣсь бываютъ и еженедѣльные торжки въ понедѣльникъ и пятокъ, и торгуютъ на оныхъ хлѣбомъ.</span>",ЗИНКОВ,Черниговского Наместничества,not_иn_text,черниговск,нот_ин_теxт,черниговск,38.0
236,Змѣевѣ,46,Харьковскаго Намѣстничества,"ЗМѢЕВѢ, слобода Харьковскаго Намѣстничества въ уѣздѣ города Изюма. Въ оной бываютъ въ году три ярмарки : первая Іюня 29, въ день Св. Апостоловъ Петра и Павла, вторая Сентября 1, въ день Симеона Столпника, третія Октября 14, на день Параскевы. Купцы пріѣзжаютъ на оныя изъ разныхъ Россійскихъ городовъ съ шелковыми , шерстяными , бумажными и прочими товарами.",,слобода,Изюма,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=45,"ЗМѢЕВѢ, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества въ уѣздѣ города Изюма. Въ оной бываютъ въ году три ярмарки : первая Іюня 29, въ день Св. Апостоловъ Петра и Павла, вторая Сентября 1, въ день Симеона Столпника, третія Октября 14, на день Параскевы. Купцы пріѣзжаютъ на оныя изъ разныхъ Россійскихъ городовъ съ шелковыми , шерстяными , бумажными и прочими товарами.</span>",ЗМЕЕВЕ,Харьковского Наместничества,Изюма,харьковск,изюм,харьковск|изюм,69.0
237,Змѣтневъ,46,Новогородскаго - Сѣверскаго Намѣстничества,"ЗМѢТНЕВЪ, село Новогородскаго - Сѣверскаго Намѣстничества въ Сосницкомъ уѣздѣ. Обыватели онаго имѣютъ изрядной промыслъ бобрами , выдрами и рыбною въ Деснѣ ловлею.",,село,Сосницкомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=45,"ЗМѢТНЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Новогородскаго - Сѣверскаго Намѣстничества въ Сосницкомъ уѣздѣ. Обыватели онаго имѣютъ изрядной промыслъ бобрами , выдрами и рыбною въ Деснѣ ловлею.</span>",ЗМЕТНЕВ,Новогородского - Северского Наместничества,Сосницком уезде,новогородского - северск,сосницк,новогородского - северск|сосницк,121.0
238,Золотоноша,46,Кіевскаго Намѣстничества,"ЗОЛОТОНОША , городъ Кіевскаго Намѣстничества. Въ немъ бываетъ въ году четыре ярмарки: первая въ Ѳомину недѣлю , вторая въ день Сошествія Свитаго Духа, третія въ день Рождества Богородицы , четвертая Декабря 6. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными нрамными и прочими товарами , стеклянною и деревянною посудою и мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, лошадей , хлѣбъ , смолу, горя-чее вино и прочее; привозятъ также сюда для лродажи жителямъ Крымскую соль.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=45,"ЗОЛОТОНОША , </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Кіевскаго Намѣстничества. Въ немъ бываетъ въ году четыре ярмарки: первая въ Ѳомину недѣлю , вторая въ день Сошествія Свитаго Духа, третія въ день Рождества Богородицы , четвертая Декабря 6. Купцы пріѣзжаютъ на оныя изъ близъ лежащихъ городовъ съ красными нрамными и прочими товарами , стеклянною и деревянною посудою и мѣлкою изъ Донскихъ станицъ рыбою; жители продаютъ рогатой скотъ, лошадей , хлѣбъ , смолу, горя-</span>чее вино и прочее; привозятъ также сюда для лродажи жителямъ Крымскую соль.",ЗОЛОТОНОША,Киевского Наместничества,not_иn_text,киевск,нот_ин_теxт,киевск,13.0
239,Золочевъ,47,not_in_text,"ЗОЛОЧЕВЪ, городъ Харьковскаго Намѣстничрства. Здѣсь бываютъ ярмарки Іюня 29, Августа 6, Декабря б ; торгуютъ купцы мѣлочнымъ товаромъ, виномъ, пивомъ, медомъ и прочимъ.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=46,"ЗОЛОЧЕВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Харьковскаго Намѣстничрства. Здѣсь бываютъ ярмарки Іюня 29, Августа 6, Декабря б ; торгуютъ купцы мѣлочнымъ товаромъ, виномъ, пивомъ, медомъ и прочимъ.</span>",ЗОЛОЧЕВ,not_иn_text,not_иn_text,нот_ин_теxт,нот_ин_теxт,нот_ин_теxт,
240,Зубцовъ,47,Тверскаго Намѣстничества,"ЗУБЦОВЪ, городъ Тверскаго Намѣстничества. Въ семъ городѣ бываютъ годовыя ярмарки : первая въ десятую пятницу по Пасхѣ , вторая Іюля 20, въ день Пророка Іліи, третія Августа 6, въ день Преображенія , четвертая Августажь 15, въ день успенія , пятая 6 Декабря, шестая Маія 9, въ день Чудотворца Николая, седьмая Генваря 7, въ день Крестителя Іоанна, осьмая на Сырной недѣлѣ въ среду; торгуютъ окрестныхъ городовъ купцы - шелковыми , бумажными и прочими мѣлочными товарами, а большею частію съѣстными припасами.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=46,"ЗУБЦОВЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Тверскаго Намѣстничества. Въ семъ городѣ бываютъ годовыя ярмарки : первая въ десятую пятницу по Пасхѣ , вторая Іюля 20, въ день Пророка Іліи, третія Августа 6, въ день Преображенія , четвертая Августажь 15, въ день успенія , пятая 6 Декабря, шестая Маія 9, въ день Чудотворца Николая, седьмая Генваря 7, въ день Крестителя Іоанна, осьмая на Сырной недѣлѣ въ среду; торгуютъ окрестныхъ городовъ купцы - шелковыми , бумажными и прочими мѣлочными товарами, а большею частію съѣстными припасами.</span>",ЗУБЦОВ,Тверского Наместничества,not_иn_text,тверск,нот_ин_теxт,тверск,33.0
241,Ивангородъ,47,Черниговскаго Намѣстничества,"ИВАНГОРОДЪ, мѣстечко Черниговскаго Намѣстничества въ уѣздѣ города Нѣжина. Здѣсь бываетъ въ году двѣ ярмарки, первая Петропавловская, въ Іюнѣ мѣсяцѣ, вторая Симеоновская въ Сентябрѣ. На оныя купцы пріѣзжаютъ изъ Нѣжина, Борзны , Конотопу и Ични съ разными мѣлочными товарами, какъ - то крамнымъ дробязкомъ, сапогами, разною посудою , вялою рыбою и прочимъ.",,мѣстечко,Нѣжина,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=46,"ИВАНГОРОДЪ, </span><span class=""font0"" style=""font-style:italic;"">мѣстечко</span><span class=""font0""> Черниговскаго Намѣстничества въ уѣздѣ города Нѣжина. Здѣсь бываетъ въ году двѣ ярмарки, первая Петропавловская, въ Іюнѣ мѣсяцѣ, вторая Симеоновская въ Сентябрѣ. На оныя купцы пріѣзжаютъ изъ Нѣжина, Борзны , Конотопу и Ични съ разными мѣлочными товарами, какъ - то крамнымъ дробязкомъ, сапогами, разною посудою , вялою рыбою и прочимъ.</span>",ИВАНГОРОД,Черниговского Наместничества,Нежина,черниговск,нежин,черниговск|нежин,102.0
242,Ивановка,47,Пензенскаго Намѣстничества,"ИВАНОВКА , село Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка Іюля 8 Дня; привозятъ купцы разные мѣлочные шелковые товары.",,село,Саранскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=46,"ИВАНОВКА , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Пензенскаго Намѣстничества въ Саранскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка Іюля 8 Дня; привозятъ купцы разные мѣлочные шелковые товары.</span>",ИВАНОВКА,Пензенского Наместничества,Саранском уезде,пензенск,саранск,пензенск|саранск,117.0
243,Ивановка,47,Харьковскаго Намѣстничества,"ИВАНОВКА, слобода Харьковскаго Намѣстничества и уѣзду. Здѣсь бываютъ ярмарки Генваря 1, Апрѣля 22, Іюня Августа 1 , Сентября 1 , Октября 29; торгуютъ купцы мѣлочными товарами, виномъ, пивомъ, медомъ и прочимъ.",,слобода,Харьковскаго уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=46,"ИВАНОВКА, </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Харьковскаго Намѣстничества и уѣзду. Здѣсь бываютъ ярмарки Генваря 1, Апрѣля 22, Іюня Августа 1 , Сентября 1 , Октября 29; торгуютъ купцы мѣлочными товарами, виномъ, пивомъ, медомъ и прочимъ.</span>",ИВАНОВКА,Харьковского Наместничества,Харьковского уезде,харьковск,харьковск,харьковск|харьковск,128.0
244,Иваново,48,Тульскаго Намѣстничества,"ИВАНОВО , село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка Іюня 29 дня; на оную товары въ продажу привозятся изъ Каширы, Тулы, Серпухова, Веневы и изъ Зарайска по малому числу москотильные мѣлочные и съѣстные припасы, а отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька , медъ , воскъ , деревянное издѣлье.",,село,Каширскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка Іюня 29 дня; на оную товары въ продажу привозятся изъ Каширы, Тулы, Серпухова, Веневы и изъ Зарайска по малому числу москотильные мѣлочные и съѣстные припасы, а отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька </span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> медъ </span><span class=""font0"" style=""font-style:italic;"">, </span><span class=""font0"">воскъ , деревянное издѣлье.</span>",ИВАНОВО,Тульского Наместничества,Каширском уезде,тульск,каширск,тульск|каширск,73.0
245,Иваново,48,Владимерскаго Намѣстничества,"ИВАНОВО, село Владимерскаго Намѣстничества въ Суздальскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка Сентября 14 дня, на которой разныхъ городовъ купцы торгуютъ разными мѣлочными купеческими товарами.",,село,Суздальскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВО, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Владимерскаго Намѣстничества въ Суздальскомъ уѣздѣ. Здѣсь бываетъ годовая ярмарка Сентября 14 дня, на которой разныхъ городовъ купцы торгуютъ разными мѣлочными купеческими товарами.</span>",ИВАНОВО,Владимерского Наместничества,Суздальском уезде,владимерск,суздальск,владимерск|суздальск,124.0
246,Ивановское,48,Тульскаго Намѣстничества,"ИВАНОВСКОЕ, село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 23 дня; на оную ярмарку товары въ продажу привозятся изъ Каширы, и изъ Тулы, Серпухова, Венева изъ Зарайска по малому числу иоскотильные мѣлочные и прочіе , также съѣстные припасы ; а отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька , медъ, воскъ, деревянное издѣлье.",,село,Каширскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка Сентября 23 дня; на оную ярмарку товары въ продажу привозятся изъ Каширы, и изъ Тулы, Серпухова, Венева изъ Зарайска по малому числу иоскотильные мѣлочные и прочіе , также съѣстные припасы ; а отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька , медъ, воскъ, деревянное издѣлье.</span>",ИВАНОВСКОЕ,Тульского Наместничества,Каширском уезде,тульск,каширск,тульск|каширск,73.0
247,Ивановское,48,Московской Губерніи,"ИВАНОВСКОЕ, село Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.",,село,Звенигородскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Московской Губерніи въ Звенигородскомъ уѣздѣ. Въ семъ селѣ бываетъ ярмарка каждогодно Іюля 8 дня.</span>",ИВАНОВСКОЕ,Московской Губернии,Звенигородском уезде,московск,звенигородск,московск|звенигородск,67.0
248,Ивановское,48,Калужскаго Намѣстничества,"ИВАНОВСКОЕ, село Калужскаго Намѣстничества близъ города Малаго Ярославца. Здѣсь бываетъ годовая ярмарка Іюня 24 дня, на которую собираются купцы изъ Малаго Ярославца и изъ Боровскаа, торгуютъ мѣлочными крестьянскими товарами.",,село,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Калужскаго Намѣстничества близъ города Малаго Ярославца. Здѣсь бываетъ годовая ярмарка Іюня 24 дня, на которую собираются купцы изъ Малаго Ярославца и изъ Боровскаа, торгуютъ мѣлочными крестьянскими товарами.</span>",ИВАНОВСКОЕ,Калужского Наместничества,not_иn_text,калужск,нот_ин_теxт,калужск,12.0
249,Ивановцы,48,Екатеринославскаго Намѣстничества,"ИВАНОВЦЫ, шанцъ Екатеринославскаго Намѣстничества. Въ ономъ бываютъ въ году двѣ ярмарки.",,шанцъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВАНОВЦЫ, </span><span class=""font0"" style=""font-style:italic;"">шанцъ</span><span class=""font0""> Екатеринославскаго Намѣстничества. Въ ономъ бываютъ въ году двѣ ярмарки.</span>",ИВАНОВЦЫ,Екатеринославского Наместничества,not_иn_text,екатеринославск,нот_ин_теxт,екатеринославск,8.0
250,Ивица,48,Курскаго Намѣстничества,"ИВИЦА , слобода Курскаго Намѣстничества въ Короченскомъ уѣздѣ. Въ оной бываетъ въ году двѣ ярмарки: первая",,слобода,Короченскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИВИЦА , </span><span class=""font0"" style=""font-style:italic;"">слобода</span><span class=""font0""> Курскаго Намѣстничества въ Короченскомъ уѣздѣ. Въ оной бываетъ въ году двѣ ярмарки: первая</span>",ИВИЦА,Курского Наместничества,Короченском уезде,курск,короченск,курск|короченск,82.0
251,Игрищи,48,Ярославскаго Намѣстничества,"ИГРИЩИ , село Ярославскаго Намѣстничества и уѣзду. Въ семъ селѣ бываетъ годовая ярмарка въ Сентябрѣ мѣсяцѣ ; съѣзжаются купцы изъ ближ-нихъ городовъ, какъ - то Ярославля, Ростова , Романова , Углича , Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",,село,Ярославскаго уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=47,"ИГРИЩИ , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Ярославскаго Намѣстничества и уѣзду. Въ семъ селѣ бываетъ годовая ярмарка въ Сентябрѣ мѣсяцѣ ; съѣзжаются купцы изъ ближ-</span>нихъ городовъ, какъ - то Ярославля, Ростова , Романова , Углича , Борисоглѣбска , Рыбнаго , Мологи и слободы Норской.",ИГРИЩИ,Ярославского Наместничества,Ярославского уезде,ярославск,ярославск,ярославск|ярославск,136.0
252,Игумново,49,Тульскаго Намѣстничества,"ИГУМНОВО , село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка о десятой и одинадцатой пятницахъ ; на оныя ярмарки товары привозятся изъ Каширы, Тулы , Серпухова, Венева и изъ Зарайска по малому числу москотильные мѣлочные и прочіе, также съѣстные припасы ; отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька , медъ , воскъ и всякое издѣлье.",,село,Каширскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИГУМНОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываетъ ярмарка о десятой и одинадцатой пятницахъ ; на оныя ярмарки товары привозятся изъ Каширы</span><span class=""font0"" style=""font-style:italic;"">,</span><span class=""font0""> Тулы , Серпухова, Венева и изъ Зарайска по малому числу москотильные мѣлочные и прочіе, также съѣстные припасы ; отъ обывателей уѣздныхъ въ продажѣ бываетъ пенька , медъ , воскъ и всякое издѣлье.</span>",ИГУМНОВО,Тульского Наместничества,Каширском уезде,тульск,каширск,тульск|каширск,73.0
253,Измайлово,49,Нижегородскаго Намѣстничества,"ИЗМАЙЛОВО , село Нижегородскаго Намѣстничества въ Арсамазскомъ уѣздѣ. Въ ономъ бываетъ одна въ г Ду ярмарка.",,село,Арсамазскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИЗМАЙЛОВО , </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Нижегородскаго Намѣстничества въ Арсамазскомъ уѣздѣ. Въ ономъ бываетъ одна въ г Ду ярмарка.</span>",ИЗМАЙЛОВО,Нижегородского Наместничества,Арсамазском уезде,нижегородск,арсамазск,нижегородск|арсамазск,42.0
254,Изюмъ,49,Харьковскаго Намѣстничества,"ИЗЮМЪ, городъ Харьковскаго Намѣстничества. Въ семъ городѣ бываетъ въ году четыре ярмарки: первая въ Маіѣ мѣсяцѣ въ день Преполовенія, вторая Іюня 24, въ день Рождества Іоанна Предтечи, третія Сентября 14, въ день Воздвиженія честнаго Креста, четвертая Октября 2б, въ день Великомученика Димитрія ; на оныя купцы пріѣзжаютъ изъ разныхъ городовъ съ шелковыми , бумажными , шерстяными и прочими товарами.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИЗЮМЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Харьковскаго Намѣстничества. Въ семъ городѣ бываетъ въ году четыре ярмарки: первая въ Маіѣ мѣсяцѣ въ день Преполовенія, вторая Іюня 24, въ день Рождества Іоанна Предтечи, третія Сентября 14, въ день Воздвиженія честнаго Креста, четвертая Октября 2б, въ день Великомученика Димитрія ; на оныя купцы пріѣзжаютъ изъ разныхъ городовъ съ шелковыми , бумажными , шерстяными и прочими товарами.</span>",ИЗЮМ,Харьковского Наместничества,not_иn_text,харьковск,нот_ин_теxт,харьковск,37.0
255,Ильинское,49,Тульскаго Намѣстничества,"ИЛЬИНСКОЕ, село Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываютъ торжки каждонедѣльно въ пятничные дни ; товары на оные привозятъ изъ уѣзда холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣснаго и Углича пріѣзжаютъ купцы съ мѣлочными всякими небогатыми товарами.",,село,Каширскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИЛЬИНСКОЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> Тульскаго Намѣстничества въ Каширскомъ уѣздѣ. Здѣсь бываютъ торжки каждонедѣльно въ пятничные дни ; товары на оные привозятъ изъ уѣзда холсты льняные разные, да изъ городовъ Ярославля, Переславля Залѣснаго и Углича пріѣзжаютъ купцы съ мѣлочными всякими небогатыми товарами.</span>",ИЛЬИНСКОЕ,Тульского Наместничества,Каширском уезде,тульск,каширск,тульск|каширск,73.0
256,Инжавенье,49,Тамбовскаго Намѣстничества,"ИНЖАВЕНЬЕ, село разныхъ Помѣщиковъ Тамбовскаго Намѣстничества въ Шатскомъ уѣздѣ. Здѣсь бываютъ ярмарки въ девятую , десятую и одинадцатую пятницы по Пасхѣ; на оныхъ торгуютъ купцы холстомъ, пенькою и прочимъ.",,село,Шатскомъ уѣздѣ,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИНЖАВЕНЬЕ, </span><span class=""font0"" style=""font-style:italic;"">село</span><span class=""font0""> разныхъ Помѣщиковъ Тамбовскаго Намѣстничества въ Шатскомъ уѣздѣ. Здѣсь бываютъ ярмарки въ девятую , десятую и одинадцатую пятницы по Пасхѣ; на оныхъ торгуютъ купцы холстомъ, пенькою и прочимъ.</span>",ИНЖАВЕНЬЕ,Тамбовского Наместничества,Шатском уезде,тамбовск,шатск,тамбовск|шатск,133.0
257,Инсара,49,Пензенскаго Намѣстничества,"ИНСАРА, городъ Пензенскаго Намѣстничества. Въ семъ городѣ бываетъ въ году одна ярмарка, называемая Троицкая на которую пріѣзжаютъ купцы изъ близъ лежащихъ гою довъ съ недорогими товарами.",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=48,"ИНСАРА, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Пензенскаго Намѣстничества. Въ семъ городѣ бываетъ въ году одна ярмарка, называемая Троицкая</span><span class=""font0"" style=""font-style:italic;""><sub> </span><span class=""font0""></sub>на которую пріѣзжаютъ купцы изъ близъ лежащихъ гою довъ съ недорогими товарами.</span>",ИНСАРА,Пензенского Наместничества,not_иn_text,пензенск,нот_ин_теxт,пензенск,22.0
258,Ирбитъ,50,Пермскаго Намѣстничества,"ИРБИТЪ, городъ Пермскаго Намѣстничества. Здѣсь всякой годъ въ половинѣ Генваря мѣсяца бываетъ великая ярмарка , которая двѣ и три недѣли продолжается, сего для сдѣланъ тамъ большой четвероугольной гостиной дворъ, въ которомъ вдоль стѣнъ девяносто одна , да еще въ срединѣ въ двухъ рядахъ пятдесятъ осьмь лавокъ, и въ которомъ происходитъ во время ярмарки настоящій торгъ, сверхъ того и еще кромѣ онаго гостинаго двора во многихъ шалашахъ, сдѣланныхъ изъ досокъ , въ то время съѣстными припасами и разными мѣлочьии торгуютъ",,городъ,not_in_text,http://babel.hathitrust.org/cgi/pt?id=uc1.b4583201;view=1up;seq=49,"ИРБИТЪ, </span><span class=""font0"" style=""font-style:italic;"">городъ</span><span class=""font0""> Пермскаго Намѣстничества. Здѣсь </span><span class=""font0"" style=""font-style:italic;"">вся</span><span class=""font0"">кой годъ въ половинѣ Генваря мѣсяца бываетъ великая ярмарка , которая двѣ и три недѣли продолжается, сего для сдѣланъ тамъ большой четвероугольной гостиной дворъ, въ которомъ вдоль стѣнъ девяносто одна , да еще въ срединѣ въ двухъ рядахъ пятдесятъ осьмь лавокъ, и въ которомъ происходитъ во время ярмарки настоящій торгъ, сверхъ того и еще кромѣ онаго гостинаго двора во многихъ шалашахъ, сдѣланныхъ изъ досокъ , въ то время съѣстными припасами и разными мѣлочьии торгуютъ</span>",ИРБИТ,Пермского Наместничества,not_иn_text,пермск,нот_ин_теxт,пермск,23.0
